"RMSE","R2","cluster","r.e.","model"
1879.66308609705,0.104755578799301,"Cluster 1","no random effect","ENV"
2033.63291290333,0.0995402373884755,"Cluster 1","no random effect","ENV"
1925.76885230549,0.106795401131848,"Cluster 1","no random effect","ENV"
1864.78588055351,0.131109292139273,"Cluster 1","no random effect","ENV"
2055.43881492993,0.0531869297289599,"Cluster 1","no random effect","ENV"
1904.74169104745,0.106250250248073,"Cluster 1","no random effect","ENV"
1977.06398375432,0.124791875202176,"Cluster 1","no random effect","ENV"
2026.49547843434,0.12883891345774,"Cluster 1","no random effect","ENV"
1895.69327931298,0.0771424608840222,"Cluster 1","no random effect","ENV"
1867.07440007997,0.0772447433610988,"Cluster 1","no random effect","ENV"
2043.61793607674,0.0820904725739533,"Cluster 1","no random effect","ENV"
2185.84223864341,0.0410797499664386,"Cluster 1","no random effect","ENV"
2199.51083706517,0.043550759614994,"Cluster 1","no random effect","ENV"
2014.263965087,0.0869155653899287,"Cluster 1","no random effect","ENV"
1863.52216887216,0.0911578629988467,"Cluster 1","no random effect","ENV"
1845.62228195374,0.0856616498538267,"Cluster 1","no random effect","ENV"
2176.5241806626,0.0836785457889987,"Cluster 1","no random effect","ENV"
2128.06681505495,0.0664687514667679,"Cluster 1","no random effect","ENV"
1951.13690687683,0.0635563978465816,"Cluster 1","no random effect","ENV"
2028.28897984543,0.075398206074768,"Cluster 1","no random effect","ENV"
1936.8407017735,0.0677655500030596,"Cluster 1","no random effect","ENV"
1883.98090720607,0.117051311484404,"Cluster 1","no random effect","ENV"
2110.4840732247,0.104915633441537,"Cluster 1","no random effect","ENV"
2042.84800767303,0.04403548291038,"Cluster 1","no random effect","ENV"
1869.55970718968,0.1019773783667,"Cluster 1","no random effect","ENV"
2141.07587663307,0.0418881836581801,"Cluster 1","no random effect","ENV"
1938.30535070748,0.143057921329776,"Cluster 1","no random effect","ENV"
1876.36324130636,0.0974967070714608,"Cluster 1","no random effect","ENV"
1928.01864091231,0.115513482010085,"Cluster 1","no random effect","ENV"
2062.93129816766,0.0791828106997334,"Cluster 1","no random effect","ENV"
1815.65192417094,0.0994072501908839,"Cluster 1","no random effect","ENV"
2077.2882527466,0.122505482238962,"Cluster 1","no random effect","ENV"
1844.50298705365,0.0722807847209072,"Cluster 1","no random effect","ENV"
2048.71070516685,0.0910699869527173,"Cluster 1","no random effect","ENV"
1967.67951662442,0.0863610139932399,"Cluster 1","no random effect","ENV"
2105.37614323534,0.0413473725941982,"Cluster 1","no random effect","ENV"
1850.95496841323,0.0856746512648039,"Cluster 1","no random effect","ENV"
1874.37006056515,0.0883625057436739,"Cluster 1","no random effect","ENV"
1957.50444563502,0.116609619171001,"Cluster 1","no random effect","ENV"
1888.36898481303,0.108759861448067,"Cluster 1","no random effect","ENV"
1828.74161737453,0.088894963225282,"Cluster 1","no random effect","ENV"
1936.37266372767,0.131240100572314,"Cluster 1","no random effect","ENV"
1970.07543117748,0.0617704973035665,"Cluster 1","no random effect","ENV"
1913.49976662704,0.104549559232289,"Cluster 1","no random effect","ENV"
1862.73602125496,0.0722536745085515,"Cluster 1","no random effect","ENV"
2073.23515947979,0.0825316203836537,"Cluster 1","no random effect","ENV"
1995.28347992927,0.0795228790350069,"Cluster 1","no random effect","ENV"
2023.98288532874,0.0827015242755766,"Cluster 1","no random effect","ENV"
1984.07271004512,0.0921850701345632,"Cluster 1","no random effect","ENV"
1974.40592914185,0.0971365261857155,"Cluster 1","no random effect","ENV"
2043.19080729441,0.0847982447108962,"Cluster 1","no random effect","ENV"
1980.29596048862,0.138119086780646,"Cluster 1","no random effect","ENV"
1813.31608702147,0.0974881234946613,"Cluster 1","no random effect","ENV"
2162.59934538239,0.0999124605611552,"Cluster 1","no random effect","ENV"
2127.90535316522,0.123357685650284,"Cluster 1","no random effect","ENV"
1923.68266476234,0.0605463723925892,"Cluster 1","no random effect","ENV"
1917.13541051566,0.112522047982136,"Cluster 1","no random effect","ENV"
2205.62862501695,0.0463883385555559,"Cluster 1","no random effect","ENV"
1801.03991299235,0.13211168791619,"Cluster 1","no random effect","ENV"
1978.17571611464,0.100945336902083,"Cluster 1","no random effect","ENV"
1843.78505316656,0.0859940197201421,"Cluster 1","no random effect","ENV"
2131.15861655095,0.0276518404435208,"Cluster 1","no random effect","ENV"
1817.46472330329,0.100147766815525,"Cluster 1","no random effect","ENV"
1788.09687566897,0.130692181065801,"Cluster 1","no random effect","ENV"
1888.15188327356,0.112856508673919,"Cluster 1","no random effect","ENV"
1805.86455159631,0.087606271672573,"Cluster 1","no random effect","ENV"
2081.25497891261,0.0512275642191487,"Cluster 1","no random effect","ENV"
1880.21174860356,0.0899385979614277,"Cluster 1","no random effect","ENV"
1844.54259190772,0.0972829191807113,"Cluster 1","no random effect","ENV"
1959.24071741013,0.0594210331688669,"Cluster 1","no random effect","ENV"
1968.15074011903,0.0817248483749291,"Cluster 1","no random effect","ENV"
2049.12162321908,0.0611109569492834,"Cluster 1","no random effect","ENV"
1819.11611598898,0.0629368152266935,"Cluster 1","no random effect","ENV"
2034.56095354958,0.108584779047313,"Cluster 1","no random effect","ENV"
1965.58626524966,0.108993764151557,"Cluster 1","no random effect","ENV"
1972.69585556911,0.0625318068672187,"Cluster 1","no random effect","ENV"
1925.95238427492,0.0918775701860245,"Cluster 1","no random effect","ENV"
2007.41409626842,0.10765635668983,"Cluster 1","no random effect","ENV"
1861.70310785514,0.070516416589455,"Cluster 1","no random effect","ENV"
2189.56717308823,0.132322699720176,"Cluster 1","no random effect","ENV"
1780.91285345864,0.0992018646949876,"Cluster 1","no random effect","ENV"
1810.46404746389,0.114613815393756,"Cluster 1","no random effect","ENV"
1902.42484948942,0.0921221558311731,"Cluster 1","no random effect","ENV"
1865.96310271013,0.121566373979332,"Cluster 1","no random effect","ENV"
1864.09004799095,0.0697445128147786,"Cluster 1","no random effect","ENV"
2117.85709662682,0.112287460336695,"Cluster 1","no random effect","ENV"
2001.39531622414,0.0977533672256843,"Cluster 1","no random effect","ENV"
2219.08332070982,0.0722957061103416,"Cluster 1","no random effect","ENV"
2023.1038770646,0.102818689055454,"Cluster 1","no random effect","ENV"
1967.98707832498,0.0916051298752271,"Cluster 1","no random effect","ENV"
1835.50395008227,0.110512407653313,"Cluster 1","no random effect","ENV"
1946.22874857679,0.101180852157519,"Cluster 1","no random effect","ENV"
1981.68117604967,0.0980711412873644,"Cluster 1","no random effect","ENV"
1876.34319574471,0.103511169508319,"Cluster 1","no random effect","ENV"
1798.95979116425,0.118845648500323,"Cluster 1","no random effect","ENV"
2002.64317339721,0.138550343227494,"Cluster 1","no random effect","ENV"
1942.56241660139,0.0595439239003709,"Cluster 1","no random effect","ENV"
2019.83532403928,0.0898969494064643,"Cluster 1","no random effect","ENV"
2007.30335352276,0.0840543755016312,"Cluster 1","no random effect","ENV"
1910.63540776545,0.0745243580734099,"Cluster 1","no random effect","ENV"
1454.79798063125,0.0259988611286874,"Cluster 2","no random effect","ENV"
1480.63939271245,0.022927602742818,"Cluster 2","no random effect","ENV"
1493.88307855448,0.0237883942853065,"Cluster 2","no random effect","ENV"
1491.00485088261,0.0243666273344308,"Cluster 2","no random effect","ENV"
1514.57199943375,0.0283304428566607,"Cluster 2","no random effect","ENV"
1491.98435666287,0.0238349449250927,"Cluster 2","no random effect","ENV"
1473.24095730064,0.0266993170532322,"Cluster 2","no random effect","ENV"
1488.94663912597,0.023187326329158,"Cluster 2","no random effect","ENV"
1470.71323318488,0.0194372884642681,"Cluster 2","no random effect","ENV"
1496.07952266928,0.0225728448704374,"Cluster 2","no random effect","ENV"
1476.90571698336,0.0240377951433691,"Cluster 2","no random effect","ENV"
1499.17884839531,0.0205381843199795,"Cluster 2","no random effect","ENV"
1475.60234750456,0.0308965885022145,"Cluster 2","no random effect","ENV"
1488.63268082907,0.0214026070205168,"Cluster 2","no random effect","ENV"
1488.68321912789,0.0237310798822632,"Cluster 2","no random effect","ENV"
1484.24136147776,0.0290311858401311,"Cluster 2","no random effect","ENV"
1473.45070641555,0.0263126394157479,"Cluster 2","no random effect","ENV"
1491.84062334384,0.0248001436433564,"Cluster 2","no random effect","ENV"
1488.70881843966,0.0261945929363479,"Cluster 2","no random effect","ENV"
1489.59641245457,0.0289976126678365,"Cluster 2","no random effect","ENV"
1498.8735212536,0.0297393671333635,"Cluster 2","no random effect","ENV"
1487.89445174284,0.0265806438650283,"Cluster 2","no random effect","ENV"
1509.40514439106,0.0248777756085211,"Cluster 2","no random effect","ENV"
1498.87922318849,0.0276825346111543,"Cluster 2","no random effect","ENV"
1478.03509018566,0.0259937741321138,"Cluster 2","no random effect","ENV"
